year,round,race_name_tracked,model,predicted_tracked,predicted_current,actual_p10_tracked,actual_pos_tracked,actual_pos_current,fantasy_pts_tracked,fantasy_pts_current,fantasy_pts_delta,pick_changed,_merge
2025,14,Hungarian Grand Prix,xgb_reg,alonso,stroll,antonelli,5,7,8,12,4,True,both
2025,15,Dutch Grand Prix,xgb_reg,lawson,lawson,ocon,12,12,15,15,0,False,both
2025,16,Italian Grand Prix,xgb_reg,bortoleto,tsunoda,hadjar,8,13,15,12,-3,True,both
2025,17,Azerbaijan Grand Prix,xgb_reg,sainz,alonso,hadjar,3,15,4,8,4,True,both
2025,18,Singapore Grand Prix,xgb_reg,lawson,lawson,sainz,15,15,8,8,0,False,both
2025,19,United States Grand Prix,xgb_reg,hulkenberg,bearman,alonso,8,9,15,18,3,True,both
2025,20,Mexico City Grand Prix,xgb_reg,hadjar,hadjar,bortoleto,13,13,12,12,0,False,both
2025,21,São Paulo Grand Prix,xgb_reg,max_verstappen,max_verstappen,gasly,3,3,4,4,0,False,both
2025,22,Las Vegas Grand Prix,xgb_reg,leclerc,leclerc,bearman,4,4,6,6,0,False,both
2025,23,Qatar Grand Prix,xgb_reg,alonso,lawson,tsunoda,7,9,12,18,6,True,both
2025,24,Abu Dhabi Grand Prix,xgb_reg,antonelli,bortoleto,stroll,15,11,8,18,10,True,both
